"90199027","北海道国民健康保険団体連合会","0600062","札幌市中央区南二条西14丁目　国保会館","0112315161"
"90299025","青森県国民健康保険団体連合会","0300801","青森市新町2-4-1","0177231336"
"90399023","岩手県国民健康保険団体連合会","0200025","盛岡市大沢川原三丁目7-30","0196234322"
"90499021","宮城県国民健康保険団体連合会","9800011","仙台市青葉区上杉1-2-3　宮城県自治会館内","0222227070"
"90599028","秋田県国民健康保険団体連合会","0100951","秋田市山王四丁目2-3　県市町村会館内（４階）","0188626864"
"90699026","山形県国民健康保険団体連合会","9910041","寒河江市大字寒河江字久保６","0237878000"
"90799024","福島県国民健康保険団体連合会","9608043","福島市中町3-7","0245232700"
"90899022","茨城県国民健康保険団体連合会","3100852","水戸市笠原町978−26　茨城県市町村会館内","0293011550"
"90999020","栃木県国民健康保険団体連合会","3200033","宇都宮市本町3-9　栃木県本町合同ビル","0286227242"
"91099028","群馬県国民健康保険団体連合会","3710846","前橋市元総社町335-8","0272901363"
"91199026","埼玉県国民健康保険団体連合会","3380002","さいたま市中央区大字下落合1704番　国保会館","0488242761"
"91299024","千葉県国民健康保険団体連合会","2630016","千葉市稲毛区天台6-4-3","0432547318"
"91399022","東京都国民健康保険団体連合会","1020072","千代田区飯田橋3-5-1 東京区政会館11階","0362380011"
"91399048","株式会社　バリューＨＲ","1500013","渋谷区恵比寿1-19-19","0364082700"
"91399055","ホームネット株式会社","1620045","新宿区馬場下町1-1　早稲田SIAビル5F","0352854536"
"91399063","株式会社イーウェル","1020084","千代田二番町３番地　麹町スクエア","0335111095"
"91399071","株式会社ベネフィット・ワン","1500002","渋谷区渋谷3-12-18　渋谷南東急ビル10階","0368925260"
"91399097","株式会社ＪＴＢベネフィット","1350033","江東区深川2-7-6　ネクストサイト深川ビル5F","0356465517"
"91499020","神奈川県国民健康保険団体連合会","2200003","横浜市西区楠町27−1　国保会館","0453293400"
"91499103","バイオコミュニケーションズ株式会社","2220033","横浜市港北区新横浜2-15-10","0454708001"
"91599027","新潟県国民健康保険団体連合会","9508560","新潟市中央区新光町7-1 県自治会館別館内","0252853030"
"91699025","富山県国民健康保険団体連合会","9308538","富山市下野字豆田995番地の3　富山県市町村会館内","0764319827"
"91799023","石川県国民健康保険団体連合会","9200968","金沢市幸町12-1　石川県幸町庁舎4階","0762615191"
"91899021","福井県国民健康保険団体連合会","9100843","福井市西開発4丁目202-1 福井県自治会館4階","0776571611"
"91999029","山梨県国民健康保険団体連合会","4000827","甲府市蓬沢1-15-35 山梨県自治会館4階","0552232111"
"92099027","長野県国民健康保険団体連合会","3800871","長野市大字西長野字加茂北143-8 長野県自治会館","0262381550"
"92199025","岐阜県国民健康保険団体連合会","5008385","岐阜市下奈良2-2-1","0582759820"
"92299023","静岡県国民健康保険団体連合会","4208558","静岡市葵区春日2-4-34","0542535530"
"92399021","愛知県国民健康保険団体連合会","4618532","名古屋市東区泉1-6-5","0529621221"
"92499029","三重県国民健康保険団体連合会","5148553","津市桜橋2-96 三重県自治会館内","0592289151"
"92599026","滋賀県国民健康保険団体連合会","5200043","大津市中央4-5-9　滋賀県国保会館","0775222651"
"92699024","京都府国民健康保険団体連合会","6008411","京都市下京区烏丸通四条下ル水銀屋町620番 COCON烏丸内","0753549011"
"92799022","大阪府国民健康保険団体連合会","5400028","大阪市中央区常盤町1-3-8　中央大通ＦＮビル内","0669495309"
"92899020","兵庫県国民健康保険団体連合会","6500021","神戸市中央区三宮町1-9-1-1801","0783325601"
"92999028","奈良県国民健康保険団体連合会","6340061","橿原市大久保町302-1 奈良県市町村会館内","0744298311"
"93099026","和歌山県国民健康保険団体連合会","6408137","和歌山市吹上2-1-22-501 日赤会館内","0734274678"
"93199024","鳥取県国民健康保険団体連合会","6800061","鳥取市立川町6-176　鳥取県東部総合事務所5階","0857203680"
"93299022","島根県国民健康保険団体連合会","6900825","松江市学園1-7-14","0852212113"
"93399020","岡山県国民健康保険団体連合会","7008568","岡山市北区桑田町17-5　国保会館","0862239101"
"93499028","広島県国民健康保険団体連合会","7308503","広島市中区東白島町19-49 国保会館","0825540770"
"93599025","山口県国民健康保険団体連合会","7538520","山口市朝田1980-7","0839252003"
"93699023","徳島県国民健康保険団体連合会","7710135","徳島市川内町平石若松78-1","0886660111"
"93799021","香川県国民健康保険団体連合会","7600066","高松市福岡町2-3-2　香川県自治会館内","0878227431"
"93899029","愛媛県国民健康保険団体連合会","7918550","松山市高岡町101-1","0899688800"
"93999027","高知県国民健康保険団体連合会","7808536","高知市丸ノ内2-6-5","0888208400"
"94099025","福岡県国民健康保険団体連合会","8128521","福岡市博多区吉塚本町13-47","0926427800"
"94199023","佐賀県国民健康保険団体連合会","8400824","佐賀市呉服元町7-28　佐賀県国保会館","0952264181"
"94299021","長崎県国民健康保険団体連合会","8500025","長崎市今博多町8-2　国保会館内","0958267291"
"94399029","熊本県国民健康保険団体連合会","8620911","熊本市東区健軍2-4-10　熊本県市町村自治会館","0963650811"
"94499027","大分県国民健康保険団体連合会","8700022","大分市大手町2-3-12","0975348470"
"94599024","宮崎県国民健康保険団体連合会","8808581","宮崎市下原町231-1","0985254901"
"94699022","鹿児島県国民健康保険団体連合会","8900064","鹿児島市鴨池新町七番四号","0992061029"
"94799020","沖縄県国民健康保険団体連合会","9008559","那覇市西3丁目14番18号","0988632321"
"94899010","社会保険診療報酬支払基金","1050004","港区新橋2-1-3","0335917441"
"91399113","株式会社ベネフィットワン・ヘルスケア","1631035","新宿区西新宿3-7-1","0368702700"
"91399123","株式会社リラックス・コミュニケーションズ","1600918","新宿区新宿4-2-18","0332251730"
"91399139","一般財団法人　日本予防医学協会","1350001","江東区毛利1-19-10　江間忠錦糸町ビル","0336351153"
"91399147","株式会社日立システムズパワーサービス","1350034","江東区永代2-37-28　澁澤シティプレイス永代","0367571127"
"91399154","株式会社ニッセイコム","1408511","東京都品川区大井1-47-1（NTビル）","0357427353"
"92399039","特定非営利活動法人健康情報処理センターあいち","4600011","名古屋市中区大須3-30-40 万松寺ビル10階","0522411351"
